sheet,row,category,sub_category,unit_id,unit_title,section_id,section_title,lesson_id,lesson_title,tree_depth,maps_to_leaf,sub_unit_id,course_path,match_score,topical_unit_id,final_exam_only,final_exam_reason,classified_by,needs_review,review_reason,attention_reason,source_file,answer,question
test,18,Airports & Airspace,,,RADIO COMMUNICATION PROCEDURES,,,104,Common Traffic Advisory Frequency (CTAF),2,yes,,RADIO COMMUNICATION PROCEDURES > Common Traffic Advisory Frequency (CTAF),1.24,10,yes,requires FAA-CT figure (cross-section chart reading),course_path_tokens → FINAL_EXAM,,,blank spreadsheet sub_category (col I),2nd rnd practice test,A,"(Refer to FAA-CT-8080-2H, Figure 22, area 2.) At Coeur D'Alene which frequency should be used as a Common Traffic Advisory Frequency (CTAF) to monitor airport traffic?"
test,33,Regulations,Operating Rules,,PART 107 REGULATIONS,13,Operational Rules and Limitations,139,Operating Limitations,3,yes,,Unit 1 (unscoped),0.40,1,yes,requires FAA-CT figure (cross-section chart reading),fallback_keyword[Operating limitations] → FINAL_EXAM,yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; fallback_keyword[Operating limitations],new 60 questions test prep,C,"(Refer to FAA-CT-8080-2H, Figure 78.) You have been contracted to inspect towers located approximately 4NM southwest of the Sioux Gateway (SUX) airport operating an unmanned aircraft. What is the maximum altitude above ground level (AGL) that you are authorized to operate over the top of the towers?"
test,84,Regulations,Roles,1,,,,,,,,,Unit 1 (unscoped),0.40,,,,category_unit_only,yes,Matched unit but not a specific lesson,"Matched unit but not a specific lesson; quiz-scoped: missing unit_id or sub_unit_id; matched unit only, no specific lesson",Part 1 Test -Key DE,C,A person whose sole task is watching the sUAS to report hazards to the rest of the crew is called:
test,85,Regulations,"Overview, Operating Rules",1,,,,,,,no,12,Unit 1 (unscoped),0.40,,,,fallback_keyword[Roles & Crew],yes,Matched unit but not a specific lesson,"Matched unit but not a specific lesson; quiz-scoped: sub_unit_id is a section folder, not a leaf lesson; fallback_keyword[Roles & Crew]",new 60 questions test prep,B,A person without a part 107 remote pilot certificate may operate an sUAS for non-recreational operations:
test,99,Regulations,Operating Rules,1,,,,,,,,,Unit 1 (unscoped),0.40,,,,fallback_keyword[Generic Part 107],yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; quiz-scoped: missing unit_id or sub_unit_id; fallback_keyword[Generic Part 107],Part 1 Test -Key DE,A,"According to 14 CFR part 107, an sUAS is a unmanned aircraft system weighing:"
test,101,Regulations,"Roles,",1,,,,,,,,,Unit 1 (unscoped),0.40,,,,fallback_keyword[Generic Part 107],yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; quiz-scoped: missing unit_id or sub_unit_id; fallback_keyword[Generic Part 107],new 60 questions test prep,A,"According to 14 CFR part 107, the responsibility to inspect the small UAS to ensure it is in a safe operating condition rests with the"
test,104,Regulations,Operating Rules,1,PART 107 REGULATIONS,13,Operational Rules and Limitations,139,Operating Limitations,3,yes,139,Unit 1 (unscoped),0.40,,,,fallback_keyword[Operating limitations],yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; fallback_keyword[Operating limitations],Part 1 Test -Key DE,A,"According to 14 CFR part 107, what is the maximum groundspeed for a small UA?"
test,105,Regulations,Roles,1,,,,,,,,,Unit 1 (unscoped),0.40,,,,fallback_keyword[Generic Part 107],yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; quiz-scoped: missing unit_id or sub_unit_id; fallback_keyword[Generic Part 107],Part 1 Test -Key DE,C,"According to 14 CFR part 107, who is responsible for determining the performance of a small unmanned aircraft?"
test,109,Regulations,Operating rules,1,PART 107 REGULATIONS,15,Remote ID Requirements,151,Standard Remote ID,3,yes,151,PART 107 REGULATIONS > Remote ID Requirements > Standard Remote ID,1.36,,,,course_path_tokens,yes,Low confidence path match,Low confidence path match,Part 1 Test -Key DE,B,"After receiving a part 107 remote pilot certificate with an sUAS rating, how often must you satisfy recurrent training requirements?"
test,161,Regulations,Operating Rules,1,PART 107 REGULATIONS,13,Operational Rules and Limitations,134,Operation From Moving Vehicles and Transportation of Property,3,yes,134,Unit 1 (unscoped),0.40,,,,fallback_keyword[Moving vehicle/Transport],yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; fallback_keyword[Moving vehicle/Transport],new 60 questions test prep,A,"In accordance with 14 CFR part 107, you may operate an sUAS from a moving vehicle when no property is carried for compensation or hire:"
