row,disposition,unit_ref,category,sub_category,note,question
2,imported,u5,weather,"Sources, Metar",,"(Refer to FAA-CT-8080-2H, Figure 12.) The wind direction and velocity at KJFK is from"
3,imported,u5,Weather,"Sources, Metar",,"(Refer to FAA-CT-8080-2H, Figure 12.) What are the current conditions for Chicago Midway Airport (KMDW)?"
4,imported,u5,weather,"Sources, Metar",,"(Refer to FAA-CT-8080-2H, Figure 12.) Which stations are reporting weather that would prohibit UAS operations?"
5,imported,u5,weather,"Sources, TAF",,"(Refer to FAA-CT-8080-2H, Figure 15.) What is the valid period for the TAF for KMEM?"
6,imported,u7,Loading & Performance,loading and performance,,"(Refer to FAA-CT-8080-2H, Figure 2.) If an unmanned airplane weighs 33 pounds, what approximate weight would the airplane structure be requi"
7,imported,u3,Airports & Airspace,Controlled vs Non controlled Airspace,,"(Refer to FAA-CT-8080-2H, Figure 20 Area 1) The Fentress NALF Airport (NFE) is in what type of airspace?"
8,imported,u2,Airports & Airspace,Aeronautical Charts,,"(Refer to FAA-CT-8080-2H, Figure 20, area 2.) Why would the small flag at Lake Drummond of the sectional chart be important to a remote pilo"
9,imported,u2,Airports & Airspace,Aeronautical Charts,,"(Refer to FAA-CT-8080-2H, Figure 20, area 3.) With ATC authorization, you are operating your small unmanned aircraft approximately 4 SM sout"
10,imported,u2,Airports & Airspace,Aeronautical Charts,,"(Refer to FAA-CT-8080-2H, Figure 20, area 4.) A small UA is being launched 2 NM northeast of the town of Hertford. What is the height of the"
11,imported,u9,Operations,"ADM, Notams, Hazards",,"(Refer to FAA-CT-8080-2H, Figure 20, area 5.) How would a remote PIC ""CHECK NOTAMS"" as noted in the CAUTION box regarding the unmarked ballo"
12,imported,u10,Operations,Communications,,"(Refer to FAA-CT-8080-2H, Figure 21, area 1.) After receiving authorization from ATC to operate a small UA near Minot International airport "
13,imported,u2,Airports & Airspace,"Overview, L & L",,"(Refer to FAA-CT-8080-2H, Figure 21, area 2.) Which airport is located at approximately 47 degrees 41 minutes 00 seconds N latitude and 101 "
14,imported,u2,Airports & Airspace,"Overview, L & L",,"(Refer to FAA-CT-8080-2H, Figure 21.) What airport is located approximately 47 (degrees) 40 (minutes) N latitude and 101 (degrees) 26 (minut"
15,imported,u3,Airports & Airspace,"Airport Operations, MOA",,"(Refer to FAA-CT-8080-2H, Figure 21.) You have been hired by a farmer to use your small UA to inspect his crops. The area that you are to su"
16,imported,u10,Operations,Radio Communications,,"(Refer to FAA-CT-8080-2H, Figure 22, area 2.) At Coeur D'Alene which frequency should be used as a Common Traffic Advisory Frequency (CTAF) "
17,imported,u10,Operations,Radio Communications,,"(Refer to FAA-CT-8080-2H, Figure 22, area 2.) Weather information is available at the Coeur d'Alene (COE) Airport"
18,imported,u3,Airports & Airspace,Airspace Classification and Operating Requirements,,"(Refer to FAA-CT-8080-2H, Figure 23, area 3.) What is the floor of the Savannah Class C airspace at the shelf area (outer circle)?"
19,imported,u5,Weather,,,"(Refer to FAA-CT-8080-2H, Figure 23, area 4.) What is the required flight visibility for a remote pilot operating an unmanned aircraft near "
20,imported,u2,Airports & Airspace,Aeronautical Charts,,"(Refer to FAA-CT-8080-2H, Figure 24, area 3, and Legend 1.) For information about the parachute operations at Tri-County Airport, refer to"
21,imported,u2,Airports & Airspace,,,"(Refer to FAA-CT-8080-2H, Figure 24, area 6.) What type of airport is Card Airport?"
22,imported,u3,Airports & Airspace,"Airspace Classifications,",,"(Refer to FAA-CT-8080-2H, Figure 25, area 2.) What is the base of Class B airspace at Lakeview (30F) Airport?"
23,imported,u3,Airports & Airspace,"Airspace Classifications,",,"(Refer to FAA-CT-8080-2H, Figure 25, area 3.) The floor of Class B airspace at Dallas Executive (RBD) is"
24,imported,u3,Airports & Airspace,"Airspace Classifications,",,"(Refer to FAA-CT-8080-2H, Figure 26, area 2.) While monitoring the Cooperstown CTAF you hear an aircraft announce that they are midfield lef"
25,imported,u3,Airports & Airspace,"Airspace Classifications,",,"(Refer to FAA-CT-8080-2H, Figure 26, area 4.) You have been hired to inspect the tower under construction at 46.9N and 98.6W, near Jamestown"
26,imported,u3,Airports & Airspace,"Airspace Classifications, MOA",,"(Refer to FAA-CT-8080-2H, Figure 26.) The Devils Lake East MOA (area 1) is a"
27,imported,u2,Airports & Airspace,"Overview, L & L",,"(Refer to FAA-CT-8080-2H, Figure 26.) What does the line of latitude at area 4 measure?"
28,imported,u3,Airports & Airspace,"Airspace Classifications, MTR",,"(Refer to FAA-CT-8080-2H, Figure 59, area 2.) The chart shows a gray line with VR1667, VR1617, VR1638, and VR1668. Could this area present a"
29,imported,u3,Airports & Airspace,"Airspace Classifications,",,"(Refer to FAA-CT-8080-2H, Figure 75, area 6.) The airspace surrounding the Gila Bend AF AUX Airport (GBN) is classified as"
30,imported,u3,Airports & Airspace,"Airspace Classifications,",,"(Refer to FAA-CT-8080-2H, Figure 78. Near the center of the figure.) What class of airspace is associated with SIOUX GATEWAY/COL DAY (SUX) A"
31,imported,u3,Airports & Airspace,Airspace Classifications & operating requirements,,"(Refer to FAA-CT-8080-2H, Figure 78.) You have been contracted to inspect towers located approximately 4NM southwest of the Sioux Gateway (S"
32,imported,u3,Airports & Airspace,"Airspace Classifications,",,"(Refer to FAA-CT-8080-2H, Figure 78.) You have been hired to use your small UAS to inspect the railroad tracks from Blencoe (SE of Sioux Cit"
