sheet,row,question,category,sub_category,current_mapped_unit,current_mapped_topic,assigned_unit_id,assigned_sub_unit_id,assigned_unit_name,final_exam_only,classified_by,suggested_mapped_unit,suggested_mapped_topic,suggested_action,notes
end-of-unit,32,In which situation is fog likely to form?,Weather,"Effects on Performance, fog",Operations,General operations,6,631,Unit 6 — Weather Effects on Performance,,keyword[Obstacle / terrain turbulence] (cat=Weather),Weather and Weather Sources,General weather concepts,Replace K/L,Unit 6 — General weather concepts
end-of-unit,33,What is the primary reason why air density decreases as altitude increases?,Weather,"Effects on Performance, air Density",Operations,General operations,6,61,Unit 6 — Weather Effects on Performance,,category=Weather / sub=Air density/pressure,Weather and Weather Sources,Density altitude & performance,Replace K/L,Unit 6 — Density altitude & performance
end-of-unit,34,(Refer to figure 15 FAA-CT-8080-2H) At what time does the visibility improve to greater than 6 statute miles?,Weather,"Sources, TAF",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,category=Weather / sub=TAF → FINAL_EXAM,Weather and Weather Sources,TAF interpretation,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
end-of-unit,36,(Refer to figure 15 FAA-CT-8080-2H) What is the forecasted ceiling at 051200Z?,Weather,"Sources, TAF",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,category=Weather / sub=TAF → FINAL_EXAM,Weather and Weather Sources,TAF interpretation,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
end-of-unit,38,"(Refer to figure 15 FAA-CT-8080-2H) What weather phenomenon is associated with ""OVC008CB""?",Weather,"Sources, TAF",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,category=Weather / sub=TAF → FINAL_EXAM,Weather and Weather Sources,TAF interpretation,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
end-of-unit,42,(Refer to Figure 15 FAA-CT-8080-2H) What is the forecast visibility for KMEM at the beginning of the TAF period (1218Z)?,Weather,"Sources, TAF",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,category=Weather / sub=TAF → FINAL_EXAM,Weather and Weather Sources,TAF interpretation,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
end-of-unit,45,(Refer to Figure 15 FAA-CT-8080-2H) What is the forecast ceiling for KMEM from 1220Z to 1222Z?,Weather,"Sources, TAF",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,category=Weather / sub=TAF → FINAL_EXAM,Weather and Weather Sources,TAF interpretation,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
end-of-unit,46,(Refer to Figure 15 FAA-CT-8080-2H) When is fog expected to occur according to the TAF?,Weather,"Sources, TAF",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,category=Weather / sub=TAF → FINAL_EXAM,Weather and Weather Sources,TAF interpretation,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
end-of-unit,47,(Refer to Figure 15 FAA-CT-8080-2H) What is the forecast wind direction and speed at KMEM from 1202Z to 1205Z?,Weather,"Sources, TAF",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,category=Weather / sub=TAF → FINAL_EXAM,Weather and Weather Sources,TAF interpretation,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
end-of-unit,48,(Refer to Figure 15 FAA-CT-8080-2H) The forecast ceiling at KMEM from 1200Z to 1220Z is:,Weather,"Sources, TAF",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,category=Weather / sub=TAF → FINAL_EXAM,Weather and Weather Sources,TAF interpretation,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
end-of-unit,51,Which chart type covers the entire U.S. and is revised semi-annually?,Airports & airspace,Sectional & Terminal Charts,Operations,General operations,2,241,"Unit 2 — Airports, Airspace & Data Sources",,sub-category=Sectional & Terminal Charts,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Replace K/L,Charts (Unit 2)
end-of-unit,54,What is the scale of a Terminal Area Chart?,Airports & airspace,Sectional & Terminal Charts,Operations,General operations,2,241,"Unit 2 — Airports, Airspace & Data Sources",,sub-category=Sectional & Terminal Charts,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Replace K/L,Charts (Unit 2)
end-of-unit,78,What should sUAS operators be aware of when operating within 5 miles of an airport?,,,Operations,General operations,1,,Unit 1 — Part 107 Regulations,,keyword[Generic Part 107],Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,90,Part 107 primarily governs which type of sUAS operations?,Regulations,Slide 3 – Applicability,Operations,General operations,1,11,Unit 1 — Part 107 Regulations,,sub-category=Applicability,Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,91,Which operation originally required a waiver under early Part 107 rules?,Regulations,Slide 4 – Applicability,Operations,General operations,1,11,Unit 1 — Part 107 Regulations,,sub-category=Applicability,Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,92,What credential is required to fly under Part 107 without special exemptions?,Regulations,Slide 5 – Applicability,Operations,General operations,1,11,Unit 1 — Part 107 Regulations,,sub-category=Applicability,Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,93,Which operation is NOT subject to Part 107?,Regulations,Slide 6 – Applicability Exclusions,Operations,General operations,1,11,Unit 1 — Part 107 Regulations,,sub-category=Applicability,Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,95,"Under Part 107, who is ultimately responsible for the safety of the flight?",Regulations,Slide 10 – RPIC,Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 10 – RPIC',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,96,Which action is required before each flight under Part 107?,Regulations,Slide 12 – RPIC Duties,Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 12 – RPIC Duties',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,97,The person manipulating the flight controls must be:,Regulations,Slide 14–15 Person Manipulating Controls,Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 14–15 Person Manipulating Controls',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,100,"If a sUAS goes out of VLOS for more than 15 seconds, the RPIC should:",Regulations,Slide 21 – Communication,Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 21 – Communication',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,101,Nonrecreational drones must be registered under which regulation?,Regulations,Slide 25 – Aircraft Registration,Operations,General operations,1,131,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 25 – Aircraft Registration',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
