,Question,Answer,A,B,C,,Explaniation if needed,Category,Sub Category,File Name pulled from,,
3,"(Refer to FAA-CT-8080-2H, Figure 12.) The wind direction and velocity at KJFK is from",A,180 degrees true at 4 knots.,180 degrees magnetic at 4 knots.,040 degrees true at 18 knots.,,,weather,"Sources, Metar",2nd rnd practice test,Weather and Weather Sources,TAF interpretation
3,"(Refer to FAA-CT-8080-2H, Figure 12.) What are the current conditions for Chicago Midway Airport (KMDW)?",A,"Sky 700 feet overcast, visibility 1-1/2SM, rain.","Sky 7,000 feet overcast, visibility 1-1/2SM, heavy rain.","Sky 700 feet overcast, visibility 11, occasionally 2SM, with rain.",,,Weather,"Sources, Metar","2nd Rnd Test Prep, Part 1 Test -Key DE, Remaining Weather questions for James, ",Weather and Weather Sources,TAF interpretation
3,"(Refer to FAA-CT-8080-2H, Figure 12.) Which stations are reporting weather that would prohibit UAS operations?",B,KINK and KMDW.,KMDW and KJFK.,KINK and KBOI.,,,weather,"Sources, Metar","2nd Rnd Practice Test, Part 1 Test- Key- DE, new 60 questions test prep",Operations,General operations
3,"(Refer to FAA-CT-8080-2H, Figure 15.) What is the valid period for the TAF for KMEM?",C,1200Z to 1200Z.,1200Z to 1800Z.,1800Z to 2400Z.,,,weather,"Sources, TAF","2nd rnd practice test, new 60 questions test prep",Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,"(Refer to FAA-CT-8080-2H, Figure 2.) If an unmanned airplane weighs 33 pounds, what approximate weight would the airplane structure be required to support during a 30° banked turn while maintaining altitude?",B,47 pounds.,38 pounds.,34 pounds.,,,Loading & Performance,loading and performance,2nd rnd practice test,Operations,General operations
3,"(Refer to FAA-CT-8080-2H, Figure 20 Area 1) The Fentress NALF Airport (NFE) is in what type of airspace?",B,Class C,Class E,Class G,,,Airports & Airspace,Controlled vs Non controlled Airspace,Airports & Airspace Test - key,Operations,Airport operations and traffic patterns
3,"(Refer to FAA-CT-8080-2H, Figure 20, area 2.) Why would the small flag at Lake Drummond of the sectional chart be important to a remote pilot?",C,This indicates that there will be a large obstruction depicted on the next printing of the chart.,This is a GPS check point that can be used by both manned and remote pilots for orientation.,"This is a VFR check point for manned aircraft, and a higher volume of air traffic should be expected there.",,,Airports & Airspace,Aeronautical Charts,Part 1 Test -Key DE,Operations,General operations
3,"(Refer to FAA-CT-8080-2H, Figure 20, area 3.) With ATC authorization, you are operating your small unmanned aircraft approximately 4 SM southeast of Elizabeth City Regional Airport (ECG). What hazard is indicated to be in that area?",B,High density military operations in the vicinity.,"Unmarked balloon on a cable up to 3,008 feet MSL.","Unmarked balloon on a cable up to 3,008 feet AGL.",,,Airports & Airspace,Aeronautical Charts,new 60 questions test prep,,
3,"(Refer to FAA-CT-8080-2H, Figure 20, area 4.) A small UA is being launched 2 NM northeast of the town of Hertford. What is the height of the highest obstacle?",C,399 feet MSL.,500 feet MSL.,500 feet AGL.,,,Airports & Airspace,Aeronautical Charts,"2nd Rnd Test Prep, new 60 questions test prep, Part 1 test key - DE, ",Operations,Airport operations and traffic patterns
3,"(Refer to FAA-CT-8080-2H, Figure 20, area 5.) How would a remote PIC ""CHECK NOTAMS"" as noted in the CAUTION box regarding the unmarked balloon?",B,By contacting the FAA district office.,By obtaining a briefing via an online source such as: 1800WXBrief.com.,By utilizing the B4UFLY mobile application.,,,Operations ,"ADM, Notams, Hazards","2nd Rnd Test Prep, Part 1 Test- Key- DE, new 60 questions test prep, ",Operations,General operations
